"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2013","266.97","275.90","277.78","263.11","1.31M","-3.37%"
"06/04/2013","276.28","278.73","281.58","274.69","718.98K","-0.74%"
"06/03/2013","278.33","279.94","279.95","273.03","774.77K","-0.31%"
"05/31/2013","279.20","283.71","285.99","279.12","812.94K","-2.03%"
"05/30/2013","284.98","282.50","286.68","281.30","781.86K","0.47%"
"05/29/2013","283.64","286.31","288.86","282.77","749.52K","-1.62%"
"05/28/2013","288.32","285.42","292.29","285.14","564.17K","1.75%"
"05/24/2013","283.35","279.88","283.54","279.80","417.43K","0.19%"
"05/23/2013","282.80","280.85","283.69","277.45","748.23K","-0.89%"
"05/22/2013","285.33","291.66","298.14","282.91","1.17M","-2.18%"
"05/21/2013","291.69","290.60","293.31","288.94","737.42K","0.84%"
"05/20/2013","289.25","289.10","291.82","287.06","551.99K","-0.58%"
"05/17/2013","290.95","287.10","291.21","286.70","567.01K","1.94%"
"05/16/2013","285.41","288.44","290.83","284.75","607.62K","-1.34%"
"05/15/2013","289.29","283.98","289.41","283.00","695.32K","1.70%"
"05/14/2013","284.45","280.00","284.98","280.00","573.34K","1.81%"
"05/13/2013","279.39","275.76","281.00","275.42","466.08K","0.98%"
"05/10/2013","276.67","276.24","277.46","275.21","555.85K","0.32%"
"05/09/2013","275.80","274.73","278.82","272.43","891.60K","-0.52%"
"05/08/2013","277.25","275.35","277.37","268.03","495.62K","0.62%"
"05/07/2013","275.55","274.54","275.81","272.41","431.74K","0.44%"
"05/06/2013","274.35","271.55","275.21","270.24","659.31K","1.11%"
"05/03/2013","271.34","265.68","271.60","265.14","835.40K","3.43%"
"05/02/2013","262.35","261.69","263.41","260.98","670.71K","0.54%"
"05/01/2013","260.94","265.38","266.50","260.69","793.31K","-2.09%"
"04/30/2013","266.50","268.46","269.81","265.78","950.55K","-0.64%"
"04/29/2013","268.21","264.16","268.74","263.32","608.11K","1.68%"
"04/26/2013","263.77","262.61","264.62","262.20","481.15K","0.08%"
"04/25/2013","263.57","259.87","264.33","259.26","755.87K","1.89%"
"04/24/2013","258.67","259.94","260.73","257.67","574.40K","-0.31%"
"04/23/2013","259.48","252.50","259.97","251.94","987.12K","3.58%"
"04/22/2013","250.51","251.24","251.58","247.38","605.54K","0.14%"
"04/19/2013","250.16","246.46","250.46","246.12","737.42K","1.98%"
"04/18/2013","245.30","251.01","251.18","243.58","1.01M","-2.28%"
"04/17/2013","251.03","254.55","255.43","249.02","864.55K","-2.41%"
"04/16/2013","257.22","257.77","257.90","251.48","1.04M","1.32%"
"04/15/2013","253.86","260.00","262.46","253.78","939.65K","-3.52%"
"04/12/2013","263.13","262.95","264.99","262.10","422.06K","-0.38%"
"04/11/2013","264.14","261.35","265.57","261.35","735.73K","1.29%"
